output,feature combination,accuracy,model
Oxidizer,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.998567714,RF
Compressed Gas,XLogP3_Hydrogen_Bond_Acceptor_Count,0.998699925,RF
Corrosive,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.887378256,RF
Flammable,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.969062624,RF
Health Hazard,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.945815522,RF
Explosive,Complexity,0.999118593,SVM
Environmental Hazard,Complexity,0.931426557,SVM
Irritant,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.715636155,SVM
Acute Toxic,XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.936538716,SVM
Oxidizer,Complexity,0.998413468,SVM
Compressed Gas,Complexity,0.998611784,SVM
Corrosive,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.877153938,SVM
Flammable,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.95872813,SVM
Health Hazard,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.938632057,SVM
