output,average_f1score
Acute Toxic,0.6014301256777443
Compressed Gas,0.5226852089220135
Corrosive,0.8412908112736593
Environmental Hazard,0.39360215446346025
Explosive,0.08176810164560668
Flammable,0.6285173969624482
Health Hazard,0.5489666347941529
Irritant,0.8413108507562179
Oxidizer,0.30530401341255475
