output,average_accuracy
Acute Toxic,0.9589687516677285
Compressed Gas,0.999064076362081
Corrosive,0.9609853716465204
Environmental Hazard,0.9435435273206461
Explosive,0.9991404943038905
Flammable,0.9736788451239717
Health Hazard,0.9565335519232538
Irritant,0.7679394204473776
Oxidizer,0.9986870096590006
